"Latitude","Longitude","OBJECTID","PONTO_RECOLHA_FREGUESIA","PONTO_RECOLHA_LOCAL","CONTENTOR_RESÍDUO","CONTENTOR_TIPO","CONTENTOR_CAPACIDADE","CONTENTOR_QT","CONTENTOR_TOTAL_LITROS"
"-9.1433088091479","38.708078785702","355","Misericórdia","15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde)","Lixos","CV0090","90","1","90"
"-9.1433088091479","38.708078785702","356","Misericórdia","15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde)","Lixos","CV0240","240","7","1680"
"-9.1433088091479","38.708078785702","357","Misericórdia","15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde)","Lixos","CV0090","90","1","90"
"-9.1433088091479","38.708078785702","358","Misericórdia","15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde)","Papel e Cartão","CV0240","240","6","1440"
"-9.1433088091479","38.708078785702","359","Misericórdia","15805: R do Alecrim (Par (->)(26->30): R Ferragial - R Ataíde)","Papel e Cartão","CV0090","90","1","90"
"-9.1433777782022","38.708078189157","364","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0240","240","1","240"
"-9.1433777782022","38.708078189157","365","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0140","140","6","840"
"-9.1433777782022","38.708078189157","366","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0120","120","1","120"
"-9.1433777782022","38.708078189157","367","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0090","90","2","180"
"-9.1433777782022","38.708078189157","368","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0240","240","1","240"
"-9.1433777782022","38.708078189157","369","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0140","140","6","840"
"-9.1433777782022","38.708078189157","370","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0120","120","1","120"
"-9.1433777782022","38.708078189157","360","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Lixos","CV0090","90","2","180"
"-9.1433777782022","38.708078189157","361","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Papel e Cartão","CV0140","140","2","280"
"-9.1433777782022","38.708078189157","362","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Papel e Cartão","CV0090","90","1","90"
"-9.1433777782022","38.708078189157","363","Misericórdia","15806: R do Alecrim (Impar (27->53)(->): R Ataíde - R Ferragial)","Papel e Cartão","CA0090","90","1","90"
"-9.1434818067053","38.707302615704","371","Misericórdia","15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira)","Lixos","CV0240","240","1","240"
"-9.1434818067053","38.707302615704","372","Misericórdia","15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira)","Lixos","CV0140","140","3","420"
"-9.1434818067053","38.707302615704","373","Misericórdia","15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira)","Lixos","CV0240","240","1","240"
"-9.1434818067053","38.707302615704","374","Misericórdia","15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira)","Lixos","CV0140","140","3","420"
"-9.1434818067053","38.707302615704","375","Misericórdia","15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira)","Papel e Cartão","CV0240","240","1","240"
"-9.1434818067053","38.707302615704","376","Misericórdia","15807: R do Alecrim (Impar (5->25)(->): R Ferragial - Pc Duque da Terceira)","Papel e Cartão","CV0140","140","1","140"
"-9.142550986781","38.707328683822","377","Misericórdia","15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0140","140","2","280"
"-9.142550986781","38.707328683822","378","Misericórdia","15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0240","240","4","960"
"-9.142550986781","38.707328683822","379","Misericórdia","15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0140","140","2","280"
"-9.142550986781","38.707328683822","380","Misericórdia","15808: R Corpo Santo (Ambos (->)(10->26): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0240","240","4","960"
"-9.142765960815","38.707083613552","381","Misericórdia","15809: Tv Corpo Santo (Ambos (->)(->): R Corpo Santo - R Bernardino da Costa)","Lixos","CV0140","140","2","280"
"-9.142765960815","38.707083613552","382","Misericórdia","15809: Tv Corpo Santo (Ambos (->)(->): R Corpo Santo - R Bernardino da Costa)","Lixos","CV0120","120","1","120"
"-9.1426225690344","38.706697516817","383","Misericórdia","15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré)","Lixos","CV0240","240","4","960"
"-9.1426225690344","38.706697516817","384","Misericórdia","15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré)","Lixos","CV0240","240","4","960"
"-9.1426225690344","38.706697516817","385","Misericórdia","15810: Tv Corpo Santo (Ambos (->)(->): R Bernardino da Costa - Cais do Sodré)","Papel e Cartão","CV0240","240","1","240"
"-9.1424083558734","38.706996627425","386","Misericórdia","15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0140","140","3","420"
"-9.1424083558734","38.706996627425","387","Misericórdia","15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0240","240","4","960"
"-9.1424083558734","38.706996627425","388","Misericórdia","15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0140","140","3","420"
"-9.1424083558734","38.706996627425","389","Misericórdia","15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo)","Lixos","CV0240","240","4","960"
"-9.1424083558734","38.706996627425","390","Misericórdia","15811: R Bernardino da Costa (Ambos (7->29)(->22): Lg Corpo Santo - Tv Corpo Santo)","Papel e Cartão","CV0240","240","1","240"
"-9.1430501554316","38.706855958922","391","Misericórdia","15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira)","Lixos","CV0140","140","5","700"
"-9.1430501554316","38.706855958922","392","Misericórdia","15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira)","Lixos","CV0240","240","3","720"
"-9.1430501554316","38.706855958922","393","Misericórdia","15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira)","Lixos","CV0120","120","3","360"
"-9.1430501554316","38.706855958922","394","Misericórdia","15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira)","Lixos","CV0140","140","5","700"
"-9.1430501554316","38.706855958922","395","Misericórdia","15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira)","Lixos","CV0240","240","3","720"
"-9.1430501554316","38.706855958922","396","Misericórdia","15812: R Bernardino da Costa (Ambos (35->45)(32->54): Tv Corpo Santo - Pc Duque da Terceira)","Lixos","CV0120","120","3","360"
"-9.1512511235953","38.708775447035","397","Misericórdia","15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro)","Lixos","CV0240","240","10","2400"
"-9.1512511235953","38.708775447035","398","Misericórdia","15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro)","Lixos","CV0140","140","7","980"
"-9.1512511235953","38.708775447035","399","Misericórdia","15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro)","Lixos","CV0090","90","1","90"
"-9.1512511235953","38.708775447035","400","Misericórdia","15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro)","Lixos","CV0240","240","10","2400"
"-9.1512511235953","38.708775447035","401","Misericórdia","15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro)","Lixos","CV0140","140","7","980"
"-9.1512511235953","38.708775447035","402","Misericórdia","15813: Lg Conde-Barão (Ambos (1->57)(4->50): R da Boavista - Bqr do Duro)","Lixos","CV0090","90","1","90"
"-9.1517894641821","38.708635632331","406","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0120","120","2","240"
"-9.1517894641821","38.708635632331","407","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0140","140","5","700"
"-9.1517894641821","38.708635632331","408","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0090","90","1","90"
"-9.1517894641821","38.708635632331","409","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0240","240","2","480"
"-9.1517894641821","38.708635632331","410","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0120","120","2","240"
"-9.1517894641821","38.708635632331","403","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0140","140","5","700"
"-9.1517894641821","38.708635632331","404","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0090","90","1","90"
"-9.1517894641821","38.708635632331","405","Misericórdia","15814: Lg Conde-Barão (Ambos (25->29)(22->32): Bqr do Duro - R Mastros)","Lixos","CV0240","240","2","480"
"-9.1520189792456","38.708606605818","411","Misericórdia","15815: Lg Conde-Barão (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo)","Lixos","CV0120","120","1","120"
"-9.1520189792456","38.708606605818","412","Misericórdia","15815: Lg Conde-Barão (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo)","Lixos","CV0140","140","2","280"
"-9.1520189792456","38.708606605818","413","Misericórdia","15815: Lg Conde-Barão (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo)","Lixos","CV0240","240","1","240"
"-9.1520189792456","38.708606605818","414","Misericórdia","15815: Lg Conde-Barão (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo)","Lixos","CV0120","120","1","120"
"-9.1520189792456","38.708606605818","415","Misericórdia","15815: Lg Conde-Barão (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo)","Lixos","CV0140","140","2","280"
"-9.1520189792456","38.708606605818","416","Misericórdia","15815: Lg Conde-Barão (Ambos (35->39)(34->38): R Mastros - Tv do Cais do Tojo)","Lixos","CV0240","240","1","240"
